club_id,player_id
631,157509
631,27511
631,177476
631,136610
631,148657
631,157490
631,3160
631,245893
631,303254
631,316551
631,224884
631,57500
631,36827
631,236490
281,54781
281,9594
281,90681
281,277114
281,2963
281,258878
281,277723
281,46156
281,7449
281,277179
281,15956
281,20007
281,26764
281,251876
11,76277
11,6710
11,149498
11,215118
11,27306
11,43003
11,44792
11,191217
11,126321
985,103427
985,93176
985,117996
985,167268
985,314388
985,342046
985,183288
985,12282
985,258879
985,134414
985,54906
985,14086
985,33544
985,188862
985,179451
985,340194
985,315131
31,47713
31,37838
31,24180
31,121280
31,177859
31,256178
31,3202
31,264193
31,293784
31,207917
31,35571
31,175745
31,263556
31,85177
31,145922
31,128912
31,262545
148,42710
148,43250
148,175722
148,45314
148,122675
148,341049
148,50174
148,192765
148,95424
148,95810
148,255916
148,341051
29,186590
29,11111
29,13520
29,348623
29,156934
29,220755
29,13507
29,124983
29,208244
29,110860
29,68390
29,3614
29,52432
29,258883
180,139208
180,121280
180,57423
180,33829
180,81789
180,91251
180,163744
180,226978
180,40611
180,250478
180,226968
180,112988
180,227185
379,37526
379,48002
379,61592
379,12691
379,314295
379,264220
379,157907
379,183281
379,339789
379,92571
379,186269
379,242646
379,242652
379,126321
379,236953
379,34672
379,258311
379,291171
379,345960
762,203348
762,60744
762,183318
762,6150
762,10642
762,17273
762,179471
762,170321
762,170929
762,312553
762,183321
762,250431
762,312533
1003,2998
1003,214056
1003,50477
1003,10003
1003,128906
1003,16947
1003,6636
1003,316125
1003,3296
1003,37442
1003,55687
512,45861
512,53173
512,43763
512,74228
512,30456
512,31642
512,107617
512,3881
512,15773
2288,85475
2288,67355
2288,85289
2288,67421
2288,297212
2288,67416
2288,66413
2288,184398
2288,66219
2288,66550
2288,130216
2288,214666
2288,197910
1010,37337
1010,177476
1010,37981
1010,59606
1010,76799
1010,86793
1010,162395
1010,69912
1010,183161
1010,41112
1010,35583
1010,58576
1010,111508
1010,100507
873,62688
873,38145
873,36861
873,25553
873,29974
873,244309
873,125868
873,141655
873,245334
873,92572
873,78959
405,129085
405,98240
405,177859
405,62638
405,4241
405,57515
405,37397
405,197791
405,265132
405,282820
405,319817
405,241229
405,90964
405,3548
405,32617
405,9619
1123,65255
1123,67303
1123,33951
1123,12127
1123,67252
1123,38073
1123,198516
1123,128912
1123,82281
1123,12704
984,42412
984,73482
984,121477
984,4241
984,25248
984,40567
984,268527
984,17804
984,121686
289,57420
289,27114
289,102427
289,87422
289,49734
289,3540
289,3405
289,52119
289,257968
289,108878
289,36866
289,255916
289,136647
289,357958
989,253677
