club_id,player_id
631,50202
631,52769
631,281404
631,65278
631,131996
631,44779
631,39152
631,37579
631,45121
631,183334
631,331726
281,134425
281,214927
281,225452
281,26399
281,81808
281,295330
281,272624
11,314341
11,33713
11,131248
11,159471
11,121990
11,40433
11,82442
11,67063
11,127194
11,197642
985,258923
985,177847
985,3332
985,182877
985,167850
985,50935
985,214104
985,118535
31,80444
31,279457
31,195652
31,251845
31,236510
31,131789
31,50201
31,47082
31,134294
31,148368
31,236513
148,91845
148,59631
148,111630
148,241119
148,61842
148,132098
29,21333
29,14221
29,96341
29,209781
29,129476
29,8552
29,238988
29,121260
180,200512
180,36139
180,126737
180,226965
180,53360
180,129627
180,29594
180,37304
180,227183
180,247647
180,356569
379,15921
379,234807
379,345961
379,139503
379,48066
379,120610
379,120630
379,104124
379,26456
379,46831
379,25742
379,242603
762,92381
762,23825
762,258188
762,184892
762,61842
762,43261
762,51152
762,75287
762,33952
762,61637
762,250426
762,251664
1003,292417
1003,229970
1003,261738
1003,383152
1003,171424
1003,37011
1003,197838
1003,79642
1003,54890
1003,46580
1003,251914
512,242280
512,3306
512,12516
512,41384
512,62049
512,81999
512,4072
512,242417
2288,45403
2288,77932
2288,14066
2288,189070
2288,374889
2288,37011
2288,319301
2288,22388
2288,68306
2288,84481
2288,37787
1010,55619
1010,62121
1010,65477
1010,314959
1010,101500
1010,245765
873,75471
873,145988
873,46791
873,244130
873,81801
873,95435
873,183334
873,45693
873,42411
873,196522
873,8883
873,19085
873,121223
405,203460
405,31552
405,309841
405,204103
405,22165
405,282821
405,108354
405,39908
405,37148
405,63824
405,183299
405,314237
405,412660
1123,15921
1123,199528
1123,129078
1123,199527
1123,44624
1123,183334
1123,35413
1123,42513
1123,35855
1123,41355
1123,36884
1123,203464
984,61711
984,159471
984,314266
984,128897
984,80197
984,64308
984,49655
984,39532
984,296986
289,96754
289,38497
289,77329
289,248045
289,31579
289,307781
289,103565
289,3875
289,44855
289,35099
289,29152
289,218144
989,81455
989,28140
989,87672
989,186997
989,36939
989,146795
989,416622
989,110858
989,123682
989,45693
989,35413
989,91059
989,198495
989,57410
989,134293
989,255703
989,386148
989,398402
631,50202
631,52769
631,281404
631,186997
631,216569
631,65278
631,131996
631,44779
631,179184
631,45121
631,258889
281,134425
281,70934
281,406635
281,192565
281,26399
281,363205
281,81808
281,295330
148,91845
148,215679
148,387313
148,111630
148,241119
148,314367
148,132098
148,207015
148,345739
11,314341
11,340328
11,33713
11,131248
11,40433
11,82442
11,73185
11,67063
11,197642
11,127194
985,258923
985,177847
985,182877
985,167850
985,3332
985,3455
985,214104
985,396284
31,80444
31,200512
31,144303
31,236510
31,279455
31,131789
31,47082
31,148368
31,134294
31,406560
29,75471
29,21333
29,14221
29,96341
29,129476
29,139503
29,209781
29,306024
29,8552
29,238988
29,121260
379,45403
379,337321
379,82130
379,57162
379,22614
379,342048
379,396857
379,104124
379,96828
379,139503
379,48066
379,120610
379,284727
379,289846
180,36139
